ENLIGHTEN Version,4.1.6
Measurement ID,,,20250709-142723-700140-WP-02208
Serial Number,,,WP-02208
Model,,,WP-785X-F13-C-ILC
Detector,,,S7031-1006
Label,,,14_27_23 WP-02208
Declared Match,,,
Declared Score,,,0
Scan Averaging,,,1
Boxcar,,,0
Technique,,,Raman
Baseline Correction Algo,,,
ROI Pixel Start,,,22
ROI Pixel End,,,1023
ROI Vertical Pixel Start,,,0
ROI Vertical Pixel End,,,63
CCD C4,,,1.0367481179107685e-11
Slit Width,,,25
Cropped,,,True
Interpolated,,,False
Wavenumber Correction,,,0
Raman Intensity Corrected,,,False
Deconvolved,,,False
Region,,,
High Gain Mode,,,False
Laser Power mW,,,450.0
Electrical Dark Correction,,,False
Battery %,,,
Device ID,,,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,,,10.0.0.10
FPGA Version,,,030-107
Prefix,,,enlighten
Suffix,,,
Preset,,,
Session Count,,,21
Plugin Name,,,
Integration Time,,,3000
Timestamp,,,2025-07-09 14:27:23.700140
Note,,,
Temperature,,,-11.534485574928112
CCD C0,,,795.3506469726562
CCD C1,,,0.26477178931236267
CCD C2,,,3.6257155443308875e-05
CCD C3,,,-5.2634717917499074e-08
CCD Offset,,,0
CCD Gain,,,1.9
CCD Offset Odd,,,0
CCD Gain Odd,,,1.9
Laser Wavelength,,,784.984
Laser Enable,,,True
Laser Power %,,,99.803746337554
Laser Temperature,,,-95.6635622537485
Pixel Count,,,1024

WP-02208,,,14_27_23 WP-02208
Pixel,Wavelength,Wavenumber,Processed
0,795.35,166.04,NA
1,795.62,170.23,NA
2,795.88,174.41,NA
3,796.15,178.59,NA
4,796.41,182.77,NA
5,796.68,186.95,NA
6,796.94,191.13,NA
7,797.21,195.30,NA
8,797.47,199.47,NA
9,797.74,203.65,NA
10,798.00,207.82,NA
11,798.27,211.98,NA
12,798.53,216.15,NA
13,798.80,220.31,NA
14,799.06,224.48,NA
15,799.33,228.64,NA
16,799.60,232.80,NA
17,799.86,236.96,NA
18,800.13,241.11,NA
19,800.39,245.27,NA
20,800.66,249.42,NA
21,800.93,253.57,NA
22,801.19,257.72,322.00
23,801.46,261.87,347.00
24,801.73,266.01,366.00
25,801.99,270.16,402.00
26,802.26,274.30,336.00
27,802.52,278.44,393.00
28,802.79,282.58,393.00
29,803.06,286.72,408.00
30,803.33,290.85,414.00
31,803.59,294.99,406.00
32,803.86,299.12,433.00
33,804.13,303.25,368.00
34,804.39,307.37,395.00
35,804.66,311.50,456.00
36,804.93,315.63,471.00
37,805.19,319.75,463.00
38,805.46,323.87,467.00
39,805.73,327.99,486.00
40,806.00,332.11,494.00
41,806.26,336.22,505.00
42,806.53,340.34,484.00
43,806.80,344.45,499.00
44,807.07,348.56,520.00
45,807.33,352.67,520.00
46,807.60,356.77,558.00
47,807.87,360.88,496.00
48,808.14,364.98,527.00
49,808.41,369.08,569.00
50,808.67,373.18,577.00
51,808.94,377.28,520.00
52,809.21,381.37,562.00
53,809.48,385.47,593.00
54,809.75,389.56,545.00
55,810.01,393.65,574.00
56,810.28,397.74,543.00
57,810.55,401.82,569.00
58,810.82,405.91,566.00
59,811.09,409.99,615.00
60,811.36,414.07,586.00
61,811.62,418.15,598.00
62,811.89,422.23,596.00
63,812.16,426.30,583.00
64,812.43,430.37,598.00
65,812.70,434.45,573.00
66,812.97,438.51,583.00
67,813.24,442.58,609.00
68,813.51,446.65,600.00
69,813.78,450.71,617.00
70,814.04,454.77,597.00
71,814.31,458.83,582.00
72,814.58,462.89,553.00
73,814.85,466.95,580.00
74,815.12,471.00,546.00
75,815.39,475.05,501.00
76,815.66,479.10,547.00
77,815.93,483.15,543.00
78,816.20,487.20,579.00
79,816.47,491.24,576.00
80,816.74,495.28,538.00
81,817.01,499.32,452.00
82,817.28,503.36,430.00
83,817.55,507.40,389.00
84,817.82,511.43,376.00
85,818.09,515.47,323.00
86,818.36,519.50,317.00
87,818.63,523.52,281.00
88,818.90,527.55,312.00
89,819.17,531.58,284.00
90,819.44,535.60,231.00
91,819.71,539.62,277.00
92,819.98,543.64,257.00
93,820.25,547.66,261.00
94,820.52,551.67,248.00
95,820.79,555.68,220.00
96,821.06,559.69,228.00
97,821.33,563.70,233.00
98,821.60,567.71,247.00
99,821.87,571.71,218.00
100,822.14,575.72,230.00
101,822.41,579.72,193.00
102,822.68,583.72,241.00
103,822.95,587.71,260.00
104,823.22,591.71,228.00
105,823.49,595.70,214.00
106,823.76,599.69,278.00
107,824.03,603.68,237.00
108,824.30,607.67,228.00
109,824.57,611.65,237.00
110,824.85,615.63,209.00
111,825.12,619.61,216.00
112,825.39,623.59,218.00
113,825.66,627.57,191.00
114,825.93,631.54,182.00
115,826.20,635.52,184.00
116,826.47,639.49,208.00
117,826.74,643.45,167.00
118,827.01,647.42,207.00
119,827.29,651.38,226.00
120,827.56,655.35,184.00
121,827.83,659.31,146.00
122,828.10,663.26,176.00
123,828.37,667.22,148.00
124,828.64,671.17,180.00
125,828.91,675.13,205.00
126,829.18,679.08,167.00
127,829.46,683.02,178.00
128,829.73,686.97,187.00
129,830.00,690.91,192.00
130,830.27,694.85,177.00
131,830.54,698.79,220.00
132,830.81,702.73,210.00
133,831.09,706.66,194.00
134,831.36,710.60,211.00
135,831.63,714.53,167.00
136,831.90,718.46,176.00
137,832.17,722.38,184.00
138,832.45,726.31,203.00
139,832.72,730.23,176.00
140,832.99,734.15,148.00
141,833.26,738.07,161.00
142,833.53,741.99,165.00
143,833.80,745.90,184.00
144,834.08,749.81,184.00
145,834.35,753.72,188.00
146,834.62,757.63,177.00
147,834.89,761.53,212.00
148,835.17,765.44,209.00
149,835.44,769.34,186.00
150,835.71,773.24,201.00
151,835.98,777.13,226.00
152,836.25,781.03,241.00
153,836.53,784.92,245.00
154,836.80,788.81,262.00
155,837.07,792.70,241.00
156,837.34,796.59,234.00
157,837.62,800.47,239.00
158,837.89,804.35,223.00
159,838.16,808.23,247.00
160,838.43,812.11,241.00
161,838.71,815.98,247.00
162,838.98,819.86,205.00
163,839.25,823.73,218.00
164,839.52,827.60,188.00
165,839.80,831.46,201.00
166,840.07,835.33,190.00
167,840.34,839.19,206.00
168,840.61,843.05,207.00
169,840.89,846.91,174.00
170,841.16,850.76,215.00
171,841.43,854.62,182.00
